"No.","Time","Source","Destination","Protocol","Length","Info"
"677","149.467834","192.168.239.2","192.168.239.134","DNS","412","Standard query response 0xd481 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"678","149.467853","192.168.239.2","192.168.239.135","DNS","412","Standard query response 0x59c7 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"679","149.467870","192.168.239.2","192.168.239.136","DNS","412","Standard query response 0xae73 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"680","149.467897","192.168.239.2","192.168.239.137","DNS","412","Standard query response 0x13d8 HTTPS main.vscode-cdn.net CNAME vscode-cdn.z01.azurefd.net CNAME mr-z01.tm-azurefd.net CNAME shed.dual-low.part-0046.t-0009.t-msedge.net CNAME azurefd-t-fb-prod.trafficmanager.net CNAME dual.part-0021.t-0009.fb-t-msedge.net CNAME part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"681","149.468621","192.168.239.134","192.168.239.2","DNS","103","Standard query 0xfb9a HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"682","149.468764","192.168.239.135","192.168.239.2","DNS","103","Standard query 0x8062 HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"683","149.468891","192.168.239.136","192.168.239.2","DNS","103","Standard query 0x55b8 HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"684","149.468984","192.168.239.137","192.168.239.2","DNS","103","Standard query 0x2422 HTTPS part-0021.t-0009.fb-t-msedge.net OPT"
"685","149.470909","192.168.239.2","192.168.239.134","DNS","178","Standard query response 0xfb9a HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"686","149.470928","192.168.239.2","192.168.239.135","DNS","178","Standard query response 0x8062 HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"687","149.470935","192.168.239.2","192.168.239.137","DNS","178","Standard query response 0x2422 HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"688","149.470944","192.168.239.2","192.168.239.136","DNS","178","Standard query response 0x55b8 HTTPS part-0021.t-0009.fb-t-msedge.net SOA ns1.fb-t-msedge.net OPT"
"689","149.471455","192.168.239.134","140.82.113.22","TCP","54","[TCP Previous segment not captured] 41374  >  443 [FIN, ACK] Seq=2 Ack=1 Win=65535 Len=0"
"690","149.471533","140.82.113.22","192.168.239.134","TCP","54","443  >  41374 [ACK] Seq=1 Ack=3 Win=64239 Len=0"
"691","149.471540","192.168.239.134","140.82.113.21","TCP","54","[TCP Previous segment not captured] 59882  >  443 [FIN, ACK] Seq=2 Ack=1 Win=65535 Len=0"
"692","149.471582","140.82.113.21","192.168.239.134","TCP","54","443  >  59882 [ACK] Seq=1 Ack=3 Win=64239 Len=0"
"693","149.471731","192.168.239.134","13.107.253.49","TCP","74","42862  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4217844921 TSecr=0 WS=128"
"694","149.539792","13.107.253.49","192.168.239.134","TCP","58","443  >  42862 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1460"
