method,latency_ns
balanced_tree,71.13
balanced_tree,80.51
balanced_tree,70.35
balanced_tree,72.69
balanced_tree,72.69
balanced_tree,69.57
balanced_tree,71.13
balanced_tree,71.13
balanced_tree,71.13
balanced_tree,68.78
balanced_tree,69.56
balanced_tree,80.51
balanced_tree,75.04
balanced_tree,86.76
balanced_tree,83.63
balanced_tree,85.98
balanced_tree,79.73
balanced_tree,86.76
balanced_tree,86.76
balanced_tree,195.41
balanced_tree,78.94
balanced_tree,75.04
balanced_tree,86.76
balanced_tree,83.63
balanced_tree,84.42
balanced_tree,83.63
balanced_tree,213.38
balanced_tree,86.76
balanced_tree,75.82
balanced_tree,85.20
balanced_tree,82.07
balanced_tree,85.20
balanced_tree,191.50
balanced_tree,76.60
balanced_tree,77.38
balanced_tree,77.38
balanced_tree,82.07
balanced_tree,76.60
balanced_tree,75.82
balanced_tree,75.82
balanced_tree,81.29
balanced_tree,76.60
balanced_tree,77.38
balanced_tree,73.47
balanced_tree,70.34
balanced_tree,93.80
balanced_tree,79.73
balanced_tree,77.38
balanced_tree,78.94
balanced_tree,71.91
balanced_tree,78.95
balanced_tree,78.95
balanced_tree,601.07
balanced_tree,79.73
balanced_tree,77.38
balanced_tree,74.25
balanced_tree,79.73
balanced_tree,76.60
balanced_tree,196.19
balanced_tree,76.60
balanced_tree,73.47
balanced_tree,72.69
balanced_tree,74.25
balanced_tree,74.25
balanced_tree,69.56
balanced_tree,70.35
balanced_tree,187.59
balanced_tree,75.04
balanced_tree,72.69
balanced_tree,72.69
balanced_tree,68.00
balanced_tree,71.13
balanced_tree,71.13
balanced_tree,188.37
balanced_tree,72.69
balanced_tree,71.91
balanced_tree,71.13
balanced_tree,71.13
balanced_tree,71.91
balanced_tree,70.35
balanced_tree,187.59
balanced_tree,71.13
balanced_tree,68.00
balanced_tree,73.47
balanced_tree,73.47
balanced_tree,70.35
balanced_tree,70.35
balanced_tree,69.56
balanced_tree,165.70
balanced_tree,69.56
balanced_tree,71.13
balanced_tree,75.82
balanced_tree,74.25
balanced_tree,81.29
balanced_tree,78.94
balanced_tree,78.16
balanced_tree,187.59
balanced_tree,85.98
balanced_tree,81.29
balanced_tree,78.16
balanced_tree,75.04
balanced_tree,71.91
balanced_tree,197.75
balanced_tree,82.07
balanced_tree,80.51
balanced_tree,80.51
balanced_tree,80.51
balanced_tree,84.42
balanced_tree,72.69
balanced_tree,101.61
balanced_tree,78.94
balanced_tree,82.85
balanced_tree,79.73
balanced_tree,87.54
balanced_tree,77.38
balanced_tree,77.38
balanced_tree,76.60
balanced_tree,75.82
balanced_tree,71.91
balanced_tree,95.36
balanced_tree,78.16
balanced_tree,73.47
balanced_tree,78.16
balanced_tree,73.47
balanced_tree,70.35
balanced_tree,74.25
balanced_tree,178.99
balanced_tree,75.04
balanced_tree,73.47
balanced_tree,71.91
balanced_tree,77.38
balanced_tree,78.95
balanced_tree,74.26
balanced_tree,77.38
balanced_tree,74.25
balanced_tree,74.25
balanced_tree,75.82
balanced_tree,74.26
balanced_tree,72.69
balanced_tree,76.60
balanced_tree,73.47
balanced_tree,71.13
balanced_tree,74.25
balanced_tree,71.91
balanced_tree,70.35
balanced_tree,69.56
balanced_tree,71.91
balanced_tree,74.26
balanced_tree,71.13
balanced_tree,71.13
balanced_tree,171.96
balanced_tree,71.91
balanced_tree,71.91
balanced_tree,71.91
balanced_tree,165.70
balanced_tree,71.91
balanced_tree,71.91
balanced_tree,175.87
balanced_tree,71.91
balanced_tree,434.58
balanced_tree,71.91
balanced_tree,76.60
balanced_tree,167.27
balanced_tree,74.25
balanced_tree,138.35
balanced_tree,69.56
balanced_tree,71.91
balanced_tree,69.56
balanced_tree,74.25
balanced_tree,71.13
balanced_tree,73.47
balanced_tree,78.16
balanced_tree,77.38
balanced_tree,78.16
balanced_tree,79.73
balanced_tree,78.95
balanced_tree,78.16
balanced_tree,82.85
balanced_tree,80.51
balanced_tree,78.94
balanced_tree,74.25
balanced_tree,73.47
balanced_tree,83.63
balanced_tree,78.94
balanced_tree,82.07
balanced_tree,78.94
balanced_tree,82.07
balanced_tree,83.63
balanced_tree,73.47
balanced_tree,82.85
balanced_tree,79.73
balanced_tree,196.97
balanced_tree,76.60
psn_fixed,110.21
psn_fixed,100.83
psn_fixed,195.41
psn_fixed,92.23
psn_fixed,88.32
psn_fixed,86.76
psn_fixed,82.85
psn_fixed,86.76
psn_fixed,83.63
psn_fixed,78.16
psn_fixed,79.73
psn_fixed,78.16
psn_fixed,76.60
psn_fixed,77.38
psn_fixed,78.16
psn_fixed,75.82
psn_fixed,75.82
psn_fixed,76.60
psn_fixed,153.20
psn_fixed,75.04
psn_fixed,72.69
psn_fixed,71.13
psn_fixed,159.45
psn_fixed,75.82
psn_fixed,74.26
psn_fixed,68.78
psn_fixed,185.24
psn_fixed,70.35
psn_fixed,69.56
psn_fixed,70.35
psn_fixed,74.26
psn_fixed,68.78
psn_fixed,72.69
psn_fixed,70.35
psn_fixed,70.35
psn_fixed,65.65
psn_fixed,69.56
psn_fixed,192.28
psn_fixed,71.91
psn_fixed,71.91
psn_fixed,75.04
psn_fixed,70.35
psn_fixed,72.69
