method,latency_ns
psn_fixed,391.59
psn_fixed,395.50
psn_fixed,509.62
psn_fixed,400.97
psn_fixed,429.11
psn_fixed,358.76
psn_fixed,982.50
psn_fixed,365.80
psn_fixed,350.17
psn_fixed,346.26
psn_fixed,334.54
psn_fixed,335.32
psn_fixed,304.83
psn_fixed,351.73
psn_fixed,282.16
psn_fixed,336.88
psn_fixed,285.29
psn_fixed,322.03
psn_fixed,272.01
psn_fixed,303.27
psn_fixed,255.59
psn_fixed,314.99
psn_fixed,254.81
psn_fixed,312.65
psn_fixed,276.70
psn_fixed,249.34
psn_fixed,256.37
psn_fixed,697.21
psn_fixed,249.34
psn_fixed,250.90
psn_fixed,244.65
psn_fixed,247.78
psn_fixed,240.74
psn_fixed,240.74
psn_fixed,243.08
psn_fixed,232.14
psn_fixed,220.42
psn_fixed,265.75
psn_fixed,248.56
psn_fixed,247.77
psn_fixed,223.55
psn_fixed,222.76
psn_fixed,205.57
psn_fixed,193.06
psn_fixed,196.97
psn_fixed,235.27
psn_fixed,195.41
psn_fixed,221.98
psn_fixed,246.21
psn_fixed,227.45
psn_fixed,175.08
psn_fixed,200.88
psn_fixed,223.55
psn_fixed,204.00
psn_fixed,203.22
psn_fixed,621.39
psn_fixed,204.79
psn_fixed,213.38
psn_fixed,195.41
psn_fixed,190.72
psn_fixed,207.13
psn_fixed,189.15
psn_fixed,193.06
psn_fixed,182.90
psn_fixed,183.68
psn_fixed,207.13
psn_fixed,186.81
psn_fixed,196.97
psn_fixed,193.06
psn_fixed,175.09
psn_fixed,180.56
psn_fixed,186.81
psn_fixed,162.58
psn_fixed,180.56
psn_fixed,168.83
psn_fixed,171.18
psn_fixed,164.14
psn_fixed,175.08
psn_fixed,171.96
psn_fixed,178.99
psn_fixed,169.61
psn_fixed,156.33
psn_fixed,189.93
psn_fixed,163.36
psn_fixed,193.84
psn_fixed,196.97
psn_fixed,174.30
psn_fixed,168.83
psn_fixed,223.55
psn_fixed,169.61
psn_fixed,182.90
psn_fixed,171.18
psn_fixed,164.14
psn_fixed,161.79
psn_fixed,156.33
psn_fixed,162.58
psn_fixed,163.36
psn_fixed,174.31
psn_fixed,170.39
psn_fixed,163.36
psn_fixed,164.14
psn_fixed,161.80
psn_fixed,155.54
psn_fixed,162.58
psn_fixed,163.36
psn_fixed,160.23
psn_fixed,164.92
psn_fixed,171.96
psn_fixed,175.87
psn_fixed,159.45
psn_fixed,167.27
psn_fixed,161.01
psn_fixed,166.48
psn_fixed,153.20
psn_fixed,156.33
psn_fixed,150.07
psn_fixed,220.42
psn_fixed,159.45
psn_fixed,167.27
psn_fixed,165.70
psn_fixed,165.70
psn_fixed,153.98
psn_fixed,157.11
psn_fixed,158.67
psn_fixed,144.60
psn_fixed,558.86
psn_fixed,167.27
psn_fixed,153.20
psn_fixed,153.98
psn_fixed,157.11
psn_fixed,157.11
psn_fixed,156.33
psn_fixed,158.67
psn_fixed,151.63
psn_fixed,157.89
psn_fixed,159.45
psn_fixed,150.85
psn_fixed,158.67
psn_fixed,147.73
psn_fixed,152.42
psn_fixed,146.95
psn_fixed,160.23
psn_fixed,164.92
psn_fixed,152.42
psn_fixed,150.07
psn_fixed,158.67
psn_fixed,154.76
psn_fixed,147.73
psn_fixed,156.33
psn_fixed,148.51
psn_fixed,147.73
psn_fixed,153.98
psn_fixed,153.98
psn_fixed,145.38
psn_fixed,141.47
psn_fixed,152.42
psn_fixed,145.38
psn_fixed,142.25
psn_fixed,150.07
psn_fixed,151.64
psn_fixed,150.85
psn_fixed,154.76
psn_fixed,143.82
psn_fixed,144.60
psn_fixed,558.86
psn_fixed,151.64
psn_fixed,149.29
psn_fixed,150.85
psn_fixed,141.47
psn_fixed,152.42
psn_fixed,151.64
psn_fixed,163.36
psn_fixed,164.92
psn_fixed,164.92
psn_fixed,156.33
psn_fixed,158.67
psn_fixed,157.11
psn_fixed,158.67
psn_fixed,150.86
psn_fixed,157.89
psn_fixed,157.11
psn_fixed,153.20
psn_fixed,152.42
psn_fixed,155.54
psn_fixed,148.51
psn_fixed,155.54
psn_fixed,151.64
psn_fixed,156.33
psn_fixed,153.98
psn_fixed,156.33
psn_fixed,150.85
psn_fixed,212.60
psn_fixed,148.51
psn_fixed,148.51
psn_fixed,157.89
psn_fixed,158.67
psn_fixed,153.20
psn_fixed,157.11
psn_fixed,149.29
psn_fixed,151.64
psn_fixed,564.33
psn_fixed,157.89
psn_fixed,151.64
psn_fixed,154.76
psn_fixed,150.07
psn_fixed,148.51
psn_fixed,149.29
psn_fixed,146.16
psn_fixed,157.11
psn_fixed,147.73
psn_fixed,147.73
psn_fixed,146.95
psn_fixed,152.42
psn_fixed,146.16
psn_fixed,146.95
psn_fixed,157.11
psn_fixed,151.64
psn_fixed,143.82
psn_fixed,146.95
psn_fixed,146.95
psn_fixed,147.73
psn_fixed,145.38
psn_fixed,153.20
psn_fixed,141.48
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,96.14
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,94.58
psn_dynamic,93.01
psn_dynamic,92.23
psn_dynamic,94.58
psn_dynamic,93.79
psn_dynamic,93.01
psn_dynamic,93.79
psn_dynamic,91.45
psn_dynamic,92.23
psn_dynamic,93.01
psn_dynamic,93.01
psn_dynamic,90.67
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,93.80
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,90.67
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,93.01
psn_dynamic,93.01
psn_dynamic,93.01
psn_dynamic,90.67
psn_dynamic,93.01
psn_dynamic,90.67
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,93.79
psn_dynamic,92.23
psn_dynamic,93.01
psn_dynamic,94.58
psn_dynamic,90.67
psn_dynamic,93.79
psn_dynamic,93.79
psn_dynamic,100.05
psn_dynamic,100.05
psn_dynamic,93.01
psn_dynamic,96.92
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,91.45
psn_dynamic,94.58
psn_dynamic,93.80
psn_dynamic,93.01
psn_dynamic,90.67
psn_dynamic,93.01
psn_dynamic,95.36
psn_dynamic,95.36
psn_dynamic,94.58
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,90.67
psn_dynamic,96.14
psn_dynamic,90.67
psn_dynamic,94.58
psn_dynamic,93.79
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,92.23
psn_dynamic,93.79
psn_dynamic,91.45
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,93.01
psn_dynamic,105.52
psn_dynamic,93.80
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,95.36
psn_dynamic,91.45
psn_dynamic,96.92
psn_dynamic,90.67
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,150.07
psn_dynamic,96.14
psn_dynamic,96.92
psn_dynamic,99.27
psn_dynamic,93.01
psn_dynamic,104.74
psn_dynamic,100.83
psn_dynamic,93.01
psn_dynamic,107.08
psn_dynamic,97.70
psn_dynamic,93.01
psn_dynamic,95.36
psn_dynamic,479.14
psn_dynamic,92.23
psn_dynamic,96.14
psn_dynamic,102.39
psn_dynamic,94.58
psn_dynamic,91.45
psn_dynamic,96.14
psn_dynamic,90.67
psn_dynamic,93.80
psn_dynamic,89.89
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,92.23
psn_dynamic,94.57
psn_dynamic,93.01
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,110.99
psn_dynamic,91.45
psn_dynamic,97.70
psn_dynamic,98.48
psn_dynamic,92.23
psn_dynamic,93.01
psn_dynamic,94.58
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,93.01
psn_dynamic,92.23
psn_dynamic,96.14
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,95.36
psn_dynamic,90.67
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,100.05
psn_dynamic,98.48
psn_dynamic,91.45
psn_dynamic,93.80
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,100.05
psn_dynamic,141.47
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,95.36
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,96.92
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,90.67
psn_dynamic,479.14
psn_dynamic,91.45
psn_dynamic,96.92
psn_dynamic,96.14
psn_dynamic,96.92
psn_dynamic,92.23
psn_dynamic,94.58
psn_dynamic,96.14
psn_dynamic,100.83
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,90.67
psn_dynamic,94.58
psn_dynamic,100.05
psn_dynamic,98.48
psn_dynamic,92.23
psn_dynamic,94.58
psn_dynamic,98.49
psn_dynamic,93.80
psn_dynamic,93.01
psn_dynamic,92.23
psn_dynamic,178.99
psn_dynamic,99.27
psn_dynamic,102.39
psn_dynamic,93.01
psn_dynamic,91.45
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,93.01
psn_dynamic,96.92
psn_dynamic,92.23
psn_dynamic,96.14
psn_dynamic,93.80
psn_dynamic,97.70
psn_dynamic,100.83
psn_dynamic,90.67
psn_dynamic,94.58
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,94.57
psn_dynamic,92.23
psn_dynamic,98.48
psn_dynamic,93.01
psn_dynamic,335.32
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,91.45
psn_dynamic,92.23
psn_dynamic,90.67
psn_dynamic,93.80
psn_dynamic,96.14
psn_dynamic,91.45
psn_dynamic,98.49
psn_dynamic,93.79
psn_dynamic,89.89
psn_dynamic,91.45
psn_dynamic,89.89
psn_dynamic,98.48
psn_dynamic,94.57
psn_dynamic,91.45
psn_dynamic,100.05
psn_dynamic,92.23
psn_dynamic,89.11
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,90.67
psn_dynamic,92.23
psn_dynamic,103.96
psn_dynamic,93.80
psn_dynamic,90.67
psn_dynamic,96.92
psn_dynamic,90.67
psn_dynamic,92.23
psn_dynamic,91.45
psn_dynamic,91.45
psn_dynamic,93.79
psn_dynamic,90.67
psn_dynamic,92.23
psn_dynamic,92.23
psn_dynamic,91.45
psn_tiered,97.70
psn_tiered,86.76
psn_tiered,96.92
psn_tiered,83.63
psn_tiered,93.80
psn_tiered,86.76
psn_tiered,88.32
psn_tiered,85.20
psn_tiered,88.32
psn_tiered,84.42
psn_tiered,85.20
psn_tiered,93.01
psn_tiered,92.23
psn_tiered,83.63
psn_tiered,85.98
psn_tiered,87.54
psn_tiered,85.20
psn_tiered,93.79
psn_tiered,84.42
psn_tiered,98.49
psn_tiered,87.54
psn_tiered,517.44
psn_tiered,92.23
psn_tiered,87.54
psn_tiered,85.20
psn_tiered,89.11
psn_tiered,87.54
psn_tiered,85.98
psn_tiered,85.20
psn_tiered,85.98
psn_tiered,85.98
psn_tiered,91.45
psn_tiered,86.76
psn_tiered,84.42
psn_tiered,91.45
psn_tiered,85.20
psn_tiered,84.42
psn_tiered,90.67
psn_tiered,85.20
psn_tiered,84.42
psn_tiered,85.20
psn_tiered,83.63
psn_tiered,84.42
psn_tiered,84.42
psn_tiered,84.42
psn_tiered,85.20
psn_tiered,85.98
psn_tiered,84.42
psn_tiered,84.42
psn_tiered,85.98
psn_tiered,85.20
psn_tiered,86.76
psn_tiered,82.85
psn_tiered,84.42
psn_tiered,85.20
psn_tiered,84.42
psn_tiered,85.20
psn_tiered,85.98
psn_tiered,84.42
psn_tiered,90.67
psn_tiered,87.54
psn_tiered,83.63
psn_tiered,85.20
psn_tiered,85.20
psn_tiered,93.79
psn_tiered,85.98
psn_tiered,94.58
psn_tiered,88.32
