# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / ring_fixed(固定S=4096去弹性) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy+升序交付全过程)
# SR retrieve_set 按第 4B 升序契约交付; sort_impl=0 主(glibc qsort)/1 xval(内联插入排序)，只作用于 SR 排序路径(GBN 无排序故两遍一致)
#   fifo/hash/index_only 显式 sort_u32_asc; tree=tree_search_set(排序+k 次 O(log N) 查找, 主; tree_inorder=1 才退中序 O(N)); dynblock 位置映射扫槽
# N=缓存深度(工作集条数)=环长(所有方法同义); dynblock 环长=N(Φ=psn%N O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(实机尾部干净, p99 备查)
# floor(空批,读钟/B): B=512 median=0.195 ns/op; B=32(xval) median=0.256 ns/op
# 第 35 条口径：pkts_per_op=K（每个操作固定 K 个重传报文；SR=K 个互异 PSN、GBN=K 个连续 PSN，K 在所有 N 下恒定）
# ring_bytes=dynblock 占用面积=N×stride(S)（stride=align16(S)，24B 头不计）；非 dynblock 方法=0（无环缓冲）
# main_metric=batch_p50_ns（每批固定 K 个报文的 retrieve 摊到单批的 p50，即「每批固定 K 个报文」口径）
method,sort_impl,mode,N,pkts_per_op,ring_bytes,payload,B,n_batches,reps,mean_ns,std_ns,p50_ns,p90_ns,p99_ns,main_metric
psn_dynblock_adaptive,0,gbn_long64,512,64,524288,1024,512,32,5,1035.568,20.470,1029.212,1050.136,1144.204,batch_p50_ns
psn_dynblock_adaptive,1,gbn_long64,512,64,524288,1024,512,32,5,1036.247,21.268,1028.618,1058.350,1143.086,batch_p50_ns
ring_fixed,0,gbn_long64,512,64,2097152,1024,512,32,5,1146.238,14.382,1141.473,1167.921,1200.089,batch_p50_ns
ring_fixed,1,gbn_long64,512,64,2097152,1024,512,32,5,1149.520,23.008,1142.424,1169.370,1206.672,batch_p50_ns
index_only,0,gbn_long64,512,64,0,1024,512,32,5,204.304,1.775,203.497,205.864,211.772,batch_p50_ns
index_only,1,gbn_long64,512,64,0,1024,512,32,5,204.025,4.356,203.357,206.768,223.339,batch_p50_ns
fifo_bounded,0,gbn_short8,512,8,0,1024,512,32,5,2081.946,54.369,2077.175,2153.757,2208.799,batch_p50_ns
fifo_bounded,1,gbn_short8,512,8,0,1024,512,32,5,2075.262,54.953,2074.193,2147.512,2229.327,batch_p50_ns
chained_hash_bounded,0,gbn_short8,512,8,0,1024,512,32,5,80.804,1.604,80.465,81.360,90.104,batch_p50_ns
chained_hash_bounded,1,gbn_short8,512,8,0,1024,512,32,5,80.991,1.491,80.636,81.833,89.324,batch_p50_ns
balanced_tree_bounded,0,gbn_short8,512,8,0,1024,512,32,5,151.282,9.525,148.128,156.378,195.700,batch_p50_ns
balanced_tree_bounded,1,gbn_short8,512,8,0,1024,512,32,5,147.103,2.463,146.587,148.878,155.970,batch_p50_ns
psn_dynblock,0,gbn_short8,512,8,524288,1024,512,32,5,90.206,1.203,89.908,91.049,96.546,batch_p50_ns
psn_dynblock,1,gbn_short8,512,8,524288,1024,512,32,5,90.202,1.081,89.934,90.949,96.044,batch_p50_ns
psn_dynblock_adaptive,0,gbn_short8,512,8,524288,1024,512,32,5,90.187,1.100,89.897,90.928,96.991,batch_p50_ns
psn_dynblock_adaptive,1,gbn_short8,512,8,524288,1024,512,32,5,90.884,2.348,90.146,91.970,100.936,batch_p50_ns
ring_fixed,0,gbn_short8,512,8,2097152,1024,512,32,5,100.894,6.229,98.616,107.088,128.647,batch_p50_ns
ring_fixed,1,gbn_short8,512,8,2097152,1024,512,32,5,99.495,2.060,98.992,100.646,109.196,batch_p50_ns
index_only,0,gbn_short8,512,8,0,1024,512,32,5,26.062,0.437,25.921,26.292,28.508,batch_p50_ns
index_only,1,gbn_short8,512,8,0,1024,512,32,5,26.016,0.799,25.904,26.049,31.197,batch_p50_ns
fifo_bounded,0,sr_16,512,16,0,1024,512,32,5,4523.779,44.657,4518.732,4576.134,4656.424,batch_p50_ns
fifo_bounded,1,sr_16,512,16,0,1024,512,32,5,4359.430,42.922,4351.515,4420.645,4506.419,batch_p50_ns
chained_hash_bounded,0,sr_16,512,16,0,1024,512,32,5,483.855,18.742,478.466,491.245,592.037,batch_p50_ns
chained_hash_bounded,1,sr_16,512,16,0,1024,512,32,5,329.554,8.225,327.072,336.056,364.451,batch_p50_ns
balanced_tree_bounded,0,sr_16,512,16,0,1024,512,32,5,681.372,6.117,680.569,688.681,705.977,batch_p50_ns
