# exp1b lookup/retrieve time cost (batch-amortized). payload=1024 reps=5 B=512 n_batches=32
# methods: fifo_bounded / chained_hash_bounded / balanced_tree_bounded / psn_dynblock(S0=payload) / psn_dynblock_adaptive(收敛后冻结) / index_only(对照E)
# modes: gbn_long64(64) / gbn_short8(8) / sr_16(16) / sr_64(64); per-op = 一次 retrieve_range/retrieve_set(定位+memcpy 全过程)
# reorder: 0=仅取包; 1=取包前先把 PSN 集升序整理(仅 SR; GBN 输出天然有序故恒 0)
# N=缓存深度(工作集条数); dynblock 环固定 10240 存 N 条(Φ 位置索引 O(1)); index_only=Φ纯算术 len=0 无 memcpy
# p50=主指标 p90=次指标; p99 仅留痕(VM ~2ms 调度停顿污染 ~1% 批次, 不可用)
# floor(空批,读钟/B): B=512 median=7.228 ns/op; B=32(xval) median=115.636 ns/op
method,mode,N,payload,B,n_batches,reps,reorder,mean_ns,std_ns,p50_ns,p90_ns,p99_ns
balanced_tree_bounded,sr_16,4096,1024,512,32,5,0,1107.015,229.420,1079.224,1197.791,2037.340
balanced_tree_bounded,sr_16,4096,1024,512,32,5,1,1303.541,316.216,1258.541,1414.613,1925.021
psn_dynblock,sr_16,4096,1024,512,32,5,0,597.226,139.861,555.531,782.900,1110.868
psn_dynblock,sr_16,4096,1024,512,32,5,1,671.558,81.932,645.776,764.734,923.542
psn_dynblock_adaptive,sr_16,4096,1024,512,32,5,0,550.602,128.516,499.470,680.741,1182.164
psn_dynblock_adaptive,sr_16,4096,1024,512,32,5,1,662.300,100.294,638.549,790.520,921.783
index_only,sr_16,4096,1024,512,32,5,0,81.054,23.930,76.181,78.524,196.702
index_only,sr_16,4096,1024,512,32,5,1,401.875,943.950,237.722,344.765,6274.926
fifo_bounded,sr_64,4096,1024,512,32,5,0,219685.405,37735.104,209905.710,238254.611,404179.189
fifo_bounded,sr_64,4096,1024,512,32,5,1,212677.643,11975.580,209698.656,224054.377,271179.615
